id;response_id;setor;label
1;SP1-1;SUP1;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
2;SP1-2;SUP1;Projeto-Tamanho médio da equipe
3;SP1-3;SUP1;Projeto-Tamanho médio da equipe
4;SP1-4;SUP1;Gestão/Gerência-Autonomia
5;SP1-5;SUP1;Equipe-Colegas de trabalho qualificados
6;SP1-6;SUP1;Gestão/Gerência-Gerência
7;SP1-7;;NC
8;SP1-8;SUP1;"Equipe-Interações sociais
"
9;SP1-9;;NC
10;SP1-10;SUP1;Gestão/Gerência-Gerência
11;SP1-10;SUP1;Gestão/Gerência-Autonomia
12;SP1-11;;NC
13;SP1-12;;NC
14;SP1-13;SUP1;Ambiente de trabalho-Trabalho remoto
15;SP1-14;SUP1;Processos e sistemas-Ferramentas
16;SP1-15;SUP1;Ambiente de trabalho-Trabalho remoto
17;SP1-15;SUP1;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
18;SP1-15;SUP1;Produtividade pessoal-Produtividade percebida
19;SP1-15;SUP1;Equipe-Interações sociais
20;SP1-16;SUP1;Ambiente de trabalho-Trabalho remoto
21;SP1-17;SUP1;Equipe-Coesão da equipe
22;SP1-18;SUP1;Projeto-Tamanho médio da equipe
23;SP1-19;SUP1;Processos e sistemas-Processos
24;SP1-19;SUP1;Equipe-Apoio à inovação
25;SP1-20;SUP1;Gestão/Gerência-Gerência
26;SP1-21;SUP1;Equipe-Interações sociais
27;SP1-22;SUP1;Gestão/Gerência-Gerência
28;SP1-23;SUP1;Habilidades e competências individuais-Felicidade do desenvolvedor
29;SP1-23;SUP1;Equipe-Camaradagem
30;SP1-24;SUP1;Projeto-Tamanho médio da equipe
31;SP1-25;SUP1;Projeto-Tamanho médio da equipe
32;SP1-26;SUP1;Projeto-Tamanho médio da equipe
33;SP1-27;SUP1;Projeto-Tamanho médio da equipe
34;SP1-28;SUP1;Ambiente de trabalho-Ambiente físico
35;SP1-28;SUP1;Equipe-Interações sociais
36;SP1-29;SUP1;Projeto-Tamanho médio da equipe
37;SP1-29;SUP1;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
38;SP1-30;SUP1;Gestão/Gerência-Objetivos bem definidos
39;SP1-30;SUP1;Processos e sistemas-Processos
40;SP1-31;SUP1;Gestão/Gerência-Objetivos bem definidos
41;SP1-32;SUP1;Projeto-Estabilidade de requisitos
42;SP1-32;SUP1;Fatores de produto-Complexidade do produto
43;SP1-32;SUP1;Projeto-Cronograma
44;SP1-33;SUP1;Ambiente de trabalho-Trabalho remoto
45;SP1-33;SUP1;Recompensas, benefícios, carreira-Promoções
46;SP1-34;SUP1;Gestão/Gerência-Apreciação pelo trabalho
47;SP1-35;;NC
48;SP1-35;;NC
49;SP1-36;SUP1;Equipe-Interações sociais
50;SP1-37;;NC
51;SP1-38;;NC
52;SP1-38;;NC
53;SP1-39;SUP1;Gestão/Gerência-Objetivos bem definidos
54;SP1-39;SUP1;Gestão/Gerência-Prioridades bem definidas
55;SP1-40;SUP1;Processos e sistemas-Processos
56;SP1-41;SUP1;Equipe-Colaboração
57;SP1-41;SUP1;Fatores de produto-Qualidade do produto
58;SP1-42;SUP1;Processos e sistemas-Ferramentas
59;SP1-42;SUP1;Processos e sistemas-Processos
60;SP1-43;SUP1;Gestão/Gerência-Objetivos bem definidos
61;SP1-44;SUP1;Habilidades e competências individuais-Capacidade do gerente
62;SP1-45;SUP1;Equipe-Camaradagem
63;SP1-45;;NC
64;SP1-46;SUP1;Equipe-Coesão da equipe
65;SP1-46;SUP1;Equipe-Camaradagem
66;SP1-47;SUP1;Gestão/Gerência-Gerência
67;SP1-47;SUP1;Processos e sistemas-Processos
68;SP1-47;SUP1;Projeto-Cronograma
69;SP1-48;SUP1;Equipe-Coesão da equipe
70;SP1-49;SUP1;Ambiente de trabalho-Trabalho remoto
71;SP1-50;SUP1;Processos e sistemas-Ferramentas
72;SP1-51;SUP1;Gestão/Gerência-Gerência
73;SP1-52;SUP1;Equipe-Empatia
74;SP1-52;SUP1;Equipe-Interações sociais
75;SP1-52;SUP1;Equipe-Segurança psicológica
76;SP1-52;SUP1;Gestão/Gerência-Apreciação pelo trabalho
77;SP1-52;SUP1;Habilidades e competências individuais-Felicidade do desenvolvedor
78;SP1-53;SUP1;Equipe-Colaboração
79;SP1-53;SUP1;Equipe-Segurança psicológica
80;SP1-53;SUP1;Equipe-Coesão da equipe
81;SP1-54;SUP1;Equipe-Colaboração
82;SP1-55;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
83;SP1-55;SUP1;Recompensas, benefícios, carreira-Promoções
84;SP1-55;SUP1;Recompensas, benefícios, carreira-Justiça
85;SP1-56;SUP1;Processos e sistemas-Ferramentas
86;SP1-56;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
87;SP1-56;SUP1;Treinamento-Treinamento para soft skills
88;SP1-56;SUP1;Fatores de processo-Ágil
89;SP1-56;SUP1;Gestão/Gerência-Objetivos bem definidos
90;SP1-57;SUP1;Organização-Visão da empresa
91;SP1-58;SUP1;Equipe-Comunicação
92;SP1-58;SUP1;Gestão/Gerência-Planejamento de reuniões
93;SP1-59;SUP1;Equipe-Comunicação
94;SP1-59;SUP1;Gestão/Gerência-Objetivos bem definidos
95;SP1-60;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
96;SP1-61;SUP1;Equipe-Coesão da equipe
97;SP1-62;SUP1;Equipe-Comunicação
98;SP1-62;SUP1;Equipe-Colaboração
99;SP1-62;SUP1;Gestão/Gerência-Planejamento de reuniões
100;SP1-63;SUP1;Processos e sistemas-Processos
101;SP1-63;SUP1;Projeto-Tamanho médio da equipe
102;SP1-64;SUP1;Equipe-Coesão da equipe
103;SP1-64;SUP1;Fatores de produto-Complexidade do produto
104;SP1-65;SUP1;Processos e sistemas-Processos
105;SP1-65;SUP1;Gestão/Gerência-Gerência
106;SP1-65;SUP1;Gestão/Gerência-Planejamento de reuniões
107;SP1-66;SUP1;Tipo/impacto do trabalho-Complexidade do trabalho
108;SP1-67;SUP1;Equipe-Comunicação
109;SP1-68;SUP1;Gestão/Gerência-Feedback
110;SP1-69;;NC
111;SP1-70;SUP1;Recompensas, benefícios, carreira-Oportunidade de mudança
112;SP1-71;;NC
113;SP1-71;;NC
114;SP1-71;;NC
115;SP1-72;;NC
116;SP1-73;;NC
117;SP1-74;;NC
118;SP1-75;;NC
119;SP1-76;;NC
120;SP1-77;SUP1;Ambiente de trabalho-Trabalho remoto
121;SP1-78;;NC
122;SP1-79;;NC
123;SP1-80;SUP1;Tipo/impacto do trabalho-Poder completar tarefas
124;SP1-81;SUP1;Gestão/Gerência-Objetivos bem definidos
125;SP1-82;SUP1;Tipo/impacto do trabalho-Impacto do trabalho efetuado
126;SP1-82;SUP1;Recompensas, benefícios, carreira-Benéficios e recompensas
127;SP1-82;SUP1;Gestão/Gerência-Apreciação pelo trabalho
128;SP1-82;SUP1;Projeto-Tamanho médio da equipe
129;SP1-83;SUP1;Gestão/Gerência-Planejamento de reuniões
130;SP1-83;SUP1;Equipe-Interações sociais
131;SP1-84;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
132;SP1-84;SUP1;Equipe-Cultura do time
133;SP1-84;SUP1;Gestão/Gerência-Apreciação pelo trabalho
134;SP1-84;;NC
135;SP1-85;SUP1;Recompensas, benefícios, carreira-Promoções
136;SP1-85;SUP1;Recompensas, benefícios, carreira-Justiça
137;SP1-86;SUP1;Equipe-Colaboração
138;SP1-86;SUP1;Equipe-Comunicação
139;SP1-87;SUP1;Projeto-Tamanho médio da equipe
140;SP1-88;SUP1;Gestão/Gerência-Planejamento de reuniões
141;SP1-88;SUP1;Gestão/Gerência-Gerência
142;SP1-89;SUP1;Gestão/Gerência-Gerência
143;SP1-89;SUP1;Processos e sistemas-Processos
144;SP1-89;SUP1;Processos e sistemas-Ferramentas
145;SP1-89;SUP1;Gestão/Gerência-Apreciação pelo trabalho
146;SP1-90;SUP1;Processos e sistemas-Processos
147;SP1-90;SUP1;Processos e sistemas-Ferramentas
148;SP1-91;SUP1;Processos e sistemas-Processos
149;SP1-91;SUP1;Gestão/Gerência-Gerência
150;SP1-92;SUP1;Ambiente de trabalho-Trabalho remoto
151;SP1-93;SUP1;Ambiente de trabalho-Trabalho remoto
152;SP1-94;SUP1;Projeto-Tamanho médio da equipe
153;SP1-94;SUP1;Equipe-Colegas de trabalho qualificados
154;SP1-95;SUP1;Projeto-Tamanho médio da equipe
155;SP1-95;SUP1;Processos e sistemas-Ferramentas
156;SP1-95;;NC
157;SP1-95;SUP1;Produtividade pessoal-Capacidade de atingir objetivos
158;SP1-95;SUP1;Tipo/impacto do trabalho-Impacto do trabalho efetuado
159;SP1-96;SUP1;Organização-Visão da empresa
160;SP1-96;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
161;SP1-96;SUP1;Tipo/impacto do trabalho-Complexidade do trabalho
162;SP1-96;SUP1;Recompensas, benefícios, carreira-Oportunidade de mudança
163;SP1-97;SUP1;Projeto-Tamanho médio da equipe
164;SP1-97;SUP1;Equipe-Colegas de trabalho qualificados
165;SP1-98;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
166;SP1-99;SUP1;Treinamento-Treinamento para ferramentas e tecnologias
167;SP1-99;SUP1;Habilidades e competências individuais-Experiência de domínio da aplicação
168;SP1-99;SUP1;Gestão/Gerência-Gerência
169;SP1-100;SUP1;Equipe-Comunicação
170;SP1-101;SUP1;Recompensas, benefícios, carreira-Promoções
171;SP2-2;SUP2;Treinamento-Treinamento para ferramentas e tecnologias
172;SP2-3;SUP2;Recompensas, benefícios, carreira-Justiça
173;SP2-3;SUP2;Gestão/Gerência-Gerência
174;SP2-3;SUP2;Gestão/Gerência-Gerência
175;SP2-4;SUP2;Gestão/Gerência-Autonomia
176;SP2-5;SUP2;Produtividade pessoal-Domínio técnico
177;SP2-6;;NC
178;SP2-7;;NA
179;SP2-8;SUP2;Gestão/Gerência-Prioridades bem definidas
180;SP2-8;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
181;SP2-9;SUP2;Projeto-Tamanho médio da equipe
182;SP2-10;SUP2;Gestão/Gerência-Apreciação pelo trabalho
183;SP2-10;SUP2;Equipe-Objetivos claros
184;SP2-11;SUP2;Ambiente de trabalho-Proximidade da equipe
185;SP2-11;SUP2;Equipe-Interações sociais
186;SP2-12;SUP2;Fatores de produto-Reuso
187;SP2-13;SUP2;Gestão/Gerência-Autonomia
188;SP2-14;SUP2;Processos e sistemas-Processos
189;SP2-14;SUP2;Ambiente de trabalho-e-factor
190;SP2-14;SUP2;Gestão/Gerência-Prioridades bem definidas
191;SP2-15;SUP2;Processos e sistemas-Processos
192;SP2-15;SUP2;Organização-Visão da empresa
193;SP2-16;SUP2;Equipe-Senso de superioridade
194;SP2-16;SUP2;Equipe-Colaboração
195;SP2-17;SUP2;Equipe-Apoio à inovação
196;SP2-17;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
197;SP2-18;SUP2;Equipe-Coesão da equipe
198;SP2-19;SUP2;Equipe-Coesão da equipe
199;SP2-20;SUP2;Gestão/Gerência-Prioridades bem definidas
200;SP2-21;;NC
201;SP2-22;SUP2;Equipe-Colaboração
202;SP2-23;SUP2;Equipe-Colaboração
203;SP2-24;SUP2;Equipe-Apoio à inovação
204;SP2-25;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
205;SP2-26;SUP2;Processos e sistemas-Ferramentas
206;SP2-27;SUP2;Recompensas, benefícios, carreira-Benéficios e recompensas
207;SP2-28;SUP2;Gestão/Gerência-Gerência
208;SP2-29;SUP2;Equipe-Comunicação
209;SP2-29;SUP2;Gestão/Gerência-Feedback
210;SP2-30;SUP2;Gestão/Gerência-Prioridades bem definidas
211;SP2-30;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
212;SP2-31;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
213;SP2-31;SUP2;Processos e sistemas-Processos
214;SP2-31;;NC
215;SP2-32;SUP2;Equipe-Comunicação
216;SP2-32;SUP2;Processos e sistemas-Processos
217;SP2-33;SUP2;Projeto-Estabilidade de requisitos
218;SP2-33;SUP2;Projeto-Cronograma
219;SP2-34;SUP2;Equipe-Comunicação
220;SP2-34;SUP2;Equipe-Colegas de trabalho qualificados
221;SP2-34;SUP2;Vida profissional/Experiência no trabalho-Tempo para completar tarefas
222;SP2-35;SUP2;Equipe-Interações sociais
223;SP2-35;SUP2;Ambiente de trabalho-Trabalho remoto
224;SP2-35;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
225;SP2-36;SUP2;Equipe-Interações sociais
226;SP2-36;SUP2;Gestão/Gerência-Planejamento de reuniões
227;SP2-36;SUP2;Ambiente de trabalho-Proximidade da equipe
228;SP2-37;SUP2;Processos e sistemas-Ferramentas
229;SP2-38;SUP2;Recompensas, benefícios, carreira-Promoções
230;SP2-38;SUP2;Recompensas, benefícios, carreira-Justiça
231;SP2-39;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
232;SP2-39;SUP2;Recompensas, benefícios, carreira-Salário
233;SP2-40;SUP2;Equipe-Segurança psicológica
234;SP2-40;SUP2;Equipe-Colaboração
235;SP2-41;SUP2;Recompensas, benefícios, carreira-Salário
236;SP2-42;SUP2;Recompensas, benefícios, carreira-Credibilidade
237;SP2-42;SUP2;Gestão/Gerência-Gerência
238;SP2-43;SUP2;Treinamento-Treinamento para soft skills
239;SP2-43;SUP2;Gestão/Gerência-Gerência
240;SP2-44;;NC
241;SP2-45;;NC
242;SP2-46;SUP2;Gestão/Gerência-Autonomia
243;SP2-46;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
244;SP2-47;;NC
245;SP2-48;SUP2;Recompensas, benefícios, carreira-Promoções
246;SP2-48;SUP2;Gestão/Gerência-Objetivos bem definidos
247;SP2-49;SUP2;Habilidades e competências individuais-Felicidade do desenvolvedor
248;SP2-50;;NC
249;SP2-51;;NC
250;SP2-52;SUP2;Gestão/Gerência-Objetivos bem definidos
251;SP2-52;SUP2;Gestão/Gerência-Planejamento de reuniões
252;SP2-52;SUP2;Ambiente de trabalho-Proximidade da equipe
253;SP2-53;SUP2;Equipe-Interações sociais
254;SP2-54;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
255;SP2-55;SUP2;Equipe-Comunicação
256;SP2-55;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
257;SP2-56;SUP2;Recompensas, benefícios, carreira-Benéficios e recompensas
258;SP2-56;SUP2;Recompensas, benefícios, carreira-Promoções
259;SP2-56;SUP2;Recompensas, benefícios, carreira-Justiça
260;SP2-57;SUP2;Gestão/Gerência-Prioridades bem definidas
261;SP2-57;SUP2;Ambiente de trabalho-Fragmentação do tempo
262;SP2-57;SUP2;Ambiente de trabalho-e-factor
263;SP2-58;SUP2;Tipo/impacto do trabalho-Impacto do trabalho efetuado
264;SP2-58;SUP2;Tipo/impacto do trabalho-Poder completar tarefas
265;SP2-59;;
266;SP2-59;;
267;SP2-59;;
268;SP2-59;SUP2;Ambiente de trabalho-Proximidade da equipe
269;SP2-60;SUP2;Equipe-Comunicação
270;SP2-60;SUP2;Gestão/Gerência-Planejamento de reuniões
271;SP2-61;;
272;SP2-61;;
273;SP2-61;;
274;SP2-61;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
275;SP2-62;SUP2;Equipe-Interações sociais
276;SP2-62;SUP2;Ambiente de trabalho-Proximidade da equipe
277;SP2-63;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
278;SP2-64;SUP2;Equipe-Senso de superioridade
279;SP2-64;SUP2;Produtividade pessoal-Importância do membro na equipe
280;SP2-65;SUP2;Treinamento-Treinamento para ferramentas e tecnologias
281;SP2-65;SUP2;Recompensas, benefícios, carreira-Benéficios e recompensas
282;SP2-66;SUP2;Gestão/Gerência-Gerência
283;SP2-67;;NC
284;SP2-68;SUP2;Organização-Visão da empresa
285;SP2-69;;NC
286;SP2-70;SUP2;Recompensas, benefícios, carreira-Promoções
287;SP2-70;SUP2;Recompensas, benefícios, carreira-Justiça
288;SP2-71;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
289;SP2-71;SUP2;Tipo/impacto do trabalho-Impacto do trabalho efetuado
290;SP2-72;;NC
291;SP2-73;SUP2;Organização-Visão da empresa
292;SP2-74;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
293;SP2-74;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
294;SP2-74;SUP2;Habilidades e competências individuais-Felicidade do desenvolvedor
295;SP2-75;SUP2;Fatores de produto-Flexibilidade de desenvolvimento
296;SP2-76;SUP2;Gestão/Gerência-Prioridades bem definidas
297;SP2-76;SUP2;Processos e sistemas-Processos
298;SP2-76;SUP2;Gestão/Gerência-Planejamento de reuniões
299;SP2-77;SUP2;Gestão/Gerência-Planejamento de reuniões
300;SP2-77;SUP2;Equipe-Apoio à inovação
301;SP2-78;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
302;SP2-79;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
303;SP2-80;;NC
304;SP2-81;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
305;SP2-82;SUP2;Ambiente de trabalho-Espaço de trabalho privado
306;SP2-83;SUP2;Projeto-Cronograma
307;SP2-84;SUP2;Processos e sistemas-Ferramentas
308;SP2-85;SUP2;Equipe-Colegas de trabalho qualificados
309;SP2-85;SUP2;Fatores de processo-Maturidade do processo
310;SP2-85;SUP2;Produtividade pessoal-Importância do membro na equipe
311;SP2-86;;NC
312;SP2-87;SUP2;Equipe-Colaboração
313;SP2-88;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
314;SP2-89;SUP2;Recompensas, benefícios, carreira-Promoções
315;SP2-90;SUP2;Equipe-Rotatividade
316;SP2-91;SUP2;Gestão/Gerência-Gerência
317;SP2-91;SUP2;Recompensas, benefícios, carreira-Benéficios e recompensas
318;SP2-91;SUP2;Recompensas, benefícios, carreira-Promoções
319;SP2-92;SUP2;Ambiente de trabalho-Ambiente físico
320;SP2-93;SUP2;Recompensas, benefícios, carreira-Oportunidade de mudança
321;SP2-93;SUP2;Tipo/impacto do trabalho-Habilidades são bem usadas
322;SP2-94;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
323;SP2-95;SUP2;Equipe-Interações sociais
324;SP2-95;SUP2;Ambiente de trabalho-Proximidade da equipe
325;SP2-96;SUP2;Vida profissional/Experiência no trabalho-Equilíbrio entre vida profissional/pessoal
326;SP2-97;SUP2;Ambiente de trabalho-Proximidade da equipe
327;SP2-97;SUP2;Equipe-Interações sociais
328;SP2-97;SUP2;Equipe-Colaboração
329;SP2-98;SUP2;Gestão/Gerência-Feedback
330;SP2-99;SUP2;Tipo/impacto do trabalho-Complexidade do trabalho
331;SP2-99;SUP2;Equipe-Apoio à inovação
332;SP2-100;SUP2;Equipe-Colaboração
